@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {L2.MC,PL1.MC,L1.MC,PL2.MC,SRMC}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric

@data
L2.MC,?,?,?,?,?,-77,-78,?,?,?,?,?,?,?,-83,-83,?,?,?,?
L2.MC,?,?,?,?,?,-70,-70,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-74,-75,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-79,-78,?,?,?,?,?,?,?,-88,-87,?,?,?,?
L2.MC,?,?,?,?,?,-85,-84,?,?,?,?,?,?,?,-83,-84,?,?,?,?
L2.MC,?,?,?,?,?,-78,-79,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-70,-70,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-91,-89,?,?,?,?
L2.MC,?,?,?,?,?,-81,-80,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-69,-69,?,?,?,?,?,?,?,-91,-88,?,?,?,?
L2.MC,?,?,?,?,?,-77,-76,?,?,?,?,?,?,?,-88,-86,?,?,?,?
L2.MC,?,?,?,?,?,-81,-80,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-77,-76,?,?,?,?,?,?,?,?,-90,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-75,-75,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-74,-74,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,?,?,?,-76,-74,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-79,-80,?,?,?,?,?,?,?,-85,-90,?,?,?,?
L2.MC,?,?,?,?,?,-76,-76,?,?,?,?,?,?,?,-79,-80,?,?,?,?
L2.MC,?,?,?,?,?,-72,-73,?,?,?,?,?,?,?,-82,-81,?,?,?,?
L2.MC,?,?,?,?,?,-70,-71,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-64,-65,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-72,-70,?,?,?,?,?,?,?,-89,-90,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,-88,-86,?,?,?,?
L2.MC,?,?,?,?,?,-82,-82,?,?,?,?,?,?,?,-80,-89,?,?,?,?
L2.MC,?,?,?,?,?,-83,-83,?,?,?,?,?,?,?,?,-80,?,?,?,?
L2.MC,?,?,-96,?,?,-80,-81,?,?,?,?,?,?,?,-84,-84,?,?,?,?
L2.MC,?,?,?,?,?,-70,-70,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-72,-70,?,?,?,?,?,?,?,-81,-80,?,?,?,?
L2.MC,?,?,?,?,?,-76,-77,?,?,?,?,?,?,?,-80,-82,?,?,?,?
L2.MC,?,?,?,?,?,-73,-72,?,?,?,?,?,?,?,-82,-82,?,?,?,?
L2.MC,?,?,?,?,?,-71,-71,?,?,?,?,?,?,?,-84,-83,?,?,?,?
L2.MC,?,?,?,?,?,-72,-73,?,?,?,?,?,?,?,-80,-78,?,?,?,?
L2.MC,?,?,?,?,?,-68,-68,?,?,?,?,?,?,?,-77,-78,?,?,?,?
L2.MC,?,?,?,?,?,-71,-73,?,?,?,?,?,?,?,-83,-82,?,?,?,?
L2.MC,?,?,?,?,?,-72,-71,?,?,?,?,?,?,?,-84,-86,?,?,?,?
L2.MC,?,?,?,?,?,-69,-70,?,?,?,?,?,?,?,-87,-89,?,?,?,?
L2.MC,?,?,?,?,?,-71,-71,?,?,?,?,?,?,?,-91,-87,?,?,?,?
L2.MC,?,?,?,?,?,-71,-72,?,?,?,?,?,?,?,-88,-89,?,?,?,?
L2.MC,?,?,?,?,?,-74,-73,?,?,?,?,?,?,?,-90,-91,?,?,?,?
L2.MC,?,?,?,?,?,-89,-87,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-77,-78,?,?,?,?,?,?,?,-80,-81,?,?,?,?
L2.MC,?,?,?,?,?,-72,-72,?,?,?,?,?,?,?,-85,-85,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-91,-89,?,?,?,?
L2.MC,?,?,?,?,?,-69,-68,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-75,-77,?,?,?,?,?,?,?,?,?,?,?,?,?
L2.MC,?,?,-95,?,?,-79,-79,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-77,-78,?,?,?,?,?,?,?,-87,-87,?,?,?,?
L2.MC,?,?,?,?,?,-77,-77,?,?,?,?,?,?,?,-81,-81,?,?,?,?
L2.MC,?,?,?,?,?,-74,-73,?,?,?,?,?,?,?,-92,-89,?,?,?,?
L2.MC,?,?,?,?,?,-72,-72,?,?,?,?,?,?,?,-87,-88,?,?,?,?
L2.MC,?,?,?,?,?,-76,-77,?,?,?,?,?,?,?,-88,-89,?,?,?,?
L2.MC,?,?,?,?,?,-75,-74,?,?,?,?,?,?,?,-88,-87,?,?,?,?
L2.MC,?,?,?,?,?,-79,-78,?,?,?,?,?,?,?,-86,-87,?,?,?,?
L2.MC,?,?,?,?,?,-67,-68,?,?,?,?,?,?,?,-85,-86,?,?,?,?
L2.MC,?,?,?,?,?,-66,-68,?,?,?,?,?,?,?,-86,-86,?,?,?,?
L2.MC,?,?,?,?,?,-79,-78,?,?,?,?,?,?,?,-91,-91,?,?,?,?
L2.MC,?,?,?,?,?,-84,-82,?,?,?,?,?,?,?,-89,-88,?,?,?,?
L2.MC,?,?,?,?,?,-79,-79,?,?,?,?,?,?,?,-83,-89,?,?,?,?
L2.MC,?,?,?,?,?,-77,-77,?,?,?,?,?,?,?,-87,-84,?,?,?,?
L2.MC,?,?,?,?,?,-78,-78,?,?,?,?,?,?,?,-89,-89,?,?,?,?
L2.MC,?,?,?,?,?,-78,-77,?,?,?,?,?,?,?,-88,-93,?,?,?,?
L2.MC,?,?,?,?,?,-80,-81,?,?,?,?,?,?,?,-89,-90,?,?,?,?
L2.MC,?,?,?,?,?,-81,-81,?,?,?,?,?,?,?,-88,-88,?,?,?,?
L2.MC,?,?,?,?,?,-76,-77,?,?,?,?,?,?,?,?,-90,?,?,?,?
L2.MC,?,?,?,?,?,-76,-76,?,?,?,?,?,?,?,?,?,?,?,?,?
PL1.MC,?,-96,-94,-90,-90,-87,-90,?,?,-89,-91,?,?,?,-71,-72,?,?,?,?
PL1.MC,?,-92,-92,-90,-89,-95,-93,?,?,-93,-94,?,?,?,-77,-77,?,?,?,?
PL1.MC,?,-89,-93,-85,-85,-84,-84,?,?,-90,-92,?,?,?,-71,-70,?,?,?,?
PL1.MC,?,-92,-93,-86,-84,-81,-80,?,?,-94,-97,?,?,?,-68,-69,?,?,?,?
PL1.MC,?,-95,-96,-87,-88,-92,-82,?,?,?,?,?,?,?,-70,-69,?,?,?,?
PL1.MC,?,-95,-91,-84,-84,-90,-86,?,?,?,?,?,?,?,-71,-72,?,?,?,?
PL1.MC,?,?,?,-86,-86,-92,-90,?,?,?,?,?,?,?,-74,-75,?,?,?,?
PL1.MC,?,?,?,-87,-90,-90,-91,?,?,?,?,?,?,?,-74,-73,?,?,?,?
PL1.MC,?,?,?,-88,-89,?,-92,?,?,?,?,?,?,?,-78,-78,?,?,?,?
PL1.MC,?,?,?,-87,-90,?,-90,?,?,?,?,?,?,?,-75,-76,?,?,?,?
PL1.MC,?,-92,-93,-89,-87,-90,-89,?,?,-93,-92,?,?,?,-73,-74,?,?,?,?
PL1.MC,?,-95,-95,-89,-89,-88,-89,?,?,-89,-93,?,?,?,-80,-80,?,?,?,?
PL1.MC,?,-90,-95,-87,-89,-93,-94,?,?,-90,-89,?,?,?,-79,-78,?,?,?,?
PL1.MC,?,-91,-90,-88,-87,-90,-91,?,?,-91,-90,?,?,?,-83,-83,?,?,?,?
PL1.MC,?,-95,-96,-82,-85,-91,-91,?,?,?,?,?,?,?,-82,-81,?,?,?,?
PL1.MC,?,?,-90,-86,-87,-84,-85,?,?,?,?,?,?,?,-76,-76,?,?,?,?
PL1.MC,?,?,-92,-88,-89,-90,-88,?,?,?,?,?,?,?,-76,-75,?,?,?,?
PL1.MC,?,?,?,-85,-86,-82,-82,?,?,?,?,?,?,?,-70,-72,?,?,?,?
PL1.MC,?,?,?,-79,-80,-86,-83,?,?,?,?,?,?,?,-77,-76,?,?,?,?
PL1.MC,?,?,?,-82,-85,?,-86,?,?,?,?,?,?,?,-79,-79,?,?,?,?
PL1.MC,?,-88,-93,-90,-89,-92,-84,?,?,-96,-91,?,?,?,-81,-81,?,?,?,?
PL1.MC,?,-95,-94,-94,-85,-84,-91,?,?,-93,-92,?,?,?,-75,-74,?,?,?,?
PL1.MC,?,-94,-91,-87,-86,-90,-90,?,?,-94,-91,?,?,?,-78,-78,?,?,?,?
PL1.MC,?,?,-96,-85,-87,-90,-90,?,?,-92,?,?,?,?,-80,-81,?,?,?,?
PL1.MC,?,?,-95,-87,-85,-89,-82,?,?,?,?,?,?,?,-80,-79,?,?,?,?
PL1.MC,?,?,?,-89,-88,-83,-91,?,?,?,?,?,?,?,-78,-77,?,?,?,?
PL1.MC,?,?,?,-86,-94,-92,-90,?,?,?,?,?,?,?,-77,-76,?,?,?,?
PL1.MC,?,?,?,-85,-87,-90,-85,?,?,?,?,?,?,?,-78,-79,?,?,?,?
PL1.MC,?,?,?,-85,-86,-89,?,?,?,?,?,?,?,?,-77,-76,?,?,?,?
PL1.MC,?,?,?,?,-85,?,?,?,?,?,?,?,?,?,-78,-80,?,?,?,?
PL1.MC,?,-93,-93,-87,-88,-93,-93,?,?,-89,-90,?,?,?,-69,-68,?,?,?,?
PL1.MC,?,-95,-94,-91,-92,-93,-93,?,?,-93,-92,?,?,?,-77,-76,?,?,?,?
PL1.MC,?,-90,-91,-89,-86,-91,-90,?,?,-95,-94,?,?,?,-71,-71,?,?,?,?
PL1.MC,?,-96,-96,-86,-86,-90,-91,?,?,-91,-91,?,?,?,-78,-78,?,?,?,?
PL1.MC,?,-91,-91,-86,-88,-89,-92,?,?,-92,-92,?,?,?,-66,-67,?,?,?,?
PL1.MC,?,?,?,-90,-91,-91,-88,?,?,-90,-88,?,?,?,-75,-76,?,?,?,?
PL1.MC,?,?,?,-88,-87,-94,-92,?,?,-96,-92,?,?,?,-71,-70,?,?,?,?
PL1.MC,?,?,?,-89,-86,-89,-92,?,?,?,?,?,?,?,-73,-73,?,?,?,?
PL1.MC,?,?,?,-91,-94,-92,?,?,?,?,?,?,?,?,-72,-72,?,?,?,?
PL1.MC,?,?,?,?,?,-91,?,?,?,?,?,?,?,?,-81,-81,?,?,?,?
PL1.MC,?,-95,-93,-94,-90,-95,-92,?,?,-90,-90,?,?,-94,-80,-79,?,?,?,?
PL1.MC,?,-92,-95,-88,-90,-90,-89,?,?,-92,-93,?,?,?,-75,-76,?,?,?,?
PL1.MC,?,-92,-92,-90,-89,-93,-95,?,?,-89,-90,?,?,?,-83,-84,?,?,?,?
PL1.MC,?,-93,-93,-86,-87,-91,-90,?,?,-91,-90,?,?,?,-77,-76,?,?,?,?
